state,state_code,dayspostlegal,distance,income,legal,month,ppg,quality_score,quantity,year
Colorado,8,-61,2343.937,46402,0,9,14.109585000000001,3,14.174762,2012
Colorado,8,-81,2343.937,46402,0,8,4.0084047,3,4.9895163,2012
Colorado,8,13,2343.937,46402,1,11,1.9400679,2,28.349524,2012
Colorado,8,7,2230.3601,46402,1,11,15.873282000000001,3,28.349524,2012
Colorado,8,33,2343.937,46402,1,12,14.109585000000001,2,28.349524,2012
Colorado,8,-170,2239.8069,46402,0,5,7.0547924,2,28.349524,2012
Colorado,8,-276,2064.9041,46402,0,1,1.0006796999999998,3,19.986414,2012
Colorado,8,-60,2444.1411,46402,0,9,5.6438336,2,3.5436904,2012
Colorado,8,-129,2362.25,46402,0,6,11.287666999999999,2,3.5436904,2012
Colorado,8,56,2285.134,46402,1,12,12.698627,3,7.087380900000001,2012
Colorado,8,6,2230.3601,46402,1,11,9.065407800000001,3,28.349524,2012
Colorado,8,-221,2339.0271,46402,0,3,8.4657507,2,3.5436904,2012
Colorado,8,-88,2382.1731,46402,0,8,8.0168095,2,4.9895163,2012
Colorado,8,-201,2230.3601,46402,0,4,14.109585000000001,3,7.087380900000001,2012
Colorado,8,-23,2343.937,46402,0,10,6.3493133,2,28.349524,2012
Colorado,8,34,2343.937,46402,1,12,12.698627,3,14.174762,2012
Colorado,8,13,2400.217,46402,1,11,11.287666999999999,3,3.5436904,2012
Colorado,8,18,2343.937,46402,1,11,7.0547924,3,28.349524,2012
Colorado,8,-131,2230.3601,46402,0,6,8.4657507,2,14.174762,2012
Colorado,8,-15,2343.937,46402,0,10,8.818489999999999,3,28.349524,2012
Colorado,8,-56,2358.2251,46402,0,9,1.0006796999999998,1,19.986414,2012
Colorado,8,24,2320.5969,46402,1,11,20.042023,2,4.9895163,2012
Colorado,8,-212,2262.7981,46402,0,4,20.042023,3,4.9895163,2012
Colorado,8,-181,2387.7419,46402,0,5,5.6438336,2,28.349524,2012
Colorado,8,24,2064.9041,46402,1,11,2.0042023999999996,2,4.9895163,2012
Colorado,8,38,2064.9041,46402,1,12,5.0105057,2,4.9895163,2012
Colorado,8,-130,2343.937,46402,0,6,2.4691772000000003,3,28.349524,2012
Colorado,8,-114,2064.9041,46402,0,7,10.582189,3,28.349524,2012
Colorado,8,-116,2339.0271,46402,0,7,9.876709,3,3.5436904,2012
Colorado,8,39,2387.7419,46402,1,12,20.042023,3,4.9895163,2012
Colorado,8,-251,2230.3601,46402,0,2,4.5856152,3,28.349524,2012
Colorado,8,-46,2268.8831,46402,0,9,13.404105,3,7.087380900000001,2012
Colorado,8,-88,2343.937,46402,0,8,1.0006796999999998,3,19.986414,2012
Colorado,8,31,2057.9099,46402,1,12,10.582189,3,28.349524,2012
Colorado,8,-218,2343.937,46402,0,3,8.0168095,2,4.9895163,2012
Colorado,8,53,2296.5459,46402,1,12,7.0547924,3,7.087380900000001,2012
Colorado,8,-113,2343.937,46402,0,7,3.5273962,2,28.349524,2012
Colorado,8,-235,2265.1951,46402,0,3,10.582189,3,28.349524,2012
Colorado,8,-190,2343.937,46402,0,4,1.7636981,3,28.349524,2012
Colorado,8,-79,2444.1411,46402,0,8,1.0006796999999998,2,19.986414,2012
Colorado,8,33,2343.937,46402,1,12,8.4657507,2,3.5436904,2012
Colorado,8,8,2339.0271,46402,1,11,10.021011,3,4.9895163,2012
Colorado,8,20,2343.937,46402,1,11,7.0547924,2,28.349524,2012
Colorado,8,6,2337.2581,46402,1,11,11.287666999999999,2,3.5436904,2012
Colorado,8,-97,2230.3601,46402,0,7,7.0547924,3,28.349524,2012
Colorado,8,-172,2230.3601,46402,0,5,5.6438336,3,28.349524,2012
Colorado,8,-57,2343.937,46402,0,9,1.7636981,2,28.349524,2012
Colorado,8,-67,2343.937,46402,0,8,10.021011,2,4.9895163,2012
Colorado,8,34,2343.937,46402,1,12,10.582189,3,28.349524,2012
Colorado,8,23,2343.937,46402,1,11,4.2328753,3,28.349524,2012
Colorado,8,-197,2210.7891,46402,0,4,6.3493133,3,28.349524,2012
Colorado,8,-78,2064.9041,46402,0,8,2.0042023999999996,2,4.9895163,2012
Colorado,8,-42,2387.7419,46402,0,9,14.988935999999999,3,10.007381,2012
Colorado,8,-36,2339.0271,46402,0,9,5.6438336,2,28.349524,2012
Colorado,8,46,2064.5549,46402,1,12,40.027190999999995,1,19.986414,2012
Colorado,8,-137,2337.2581,46402,0,6,11.287666999999999,3,3.5436904,2012
Colorado,8,-133,2197.208,46402,0,6,14.109585000000001,2,28.349524,2012
Colorado,8,-186,2432.855,46402,0,4,10.021011,2,4.9895163,2012
Colorado,8,-172,2443.0171,46402,0,5,8.4657507,2,28.349524,2012
Colorado,8,10,2346.313,46402,1,11,8.818489999999999,2,28.349524,2012
Colorado,8,-5,2016.511,46402,0,10,3.5273962,2,28.349524,2012
Colorado,8,-151,2343.937,46402,0,6,8.4657507,3,7.087380900000001,2012
Colorado,8,40,2155.2471,46402,1,12,7.4075317,3,28.349524,2012
Colorado,8,-11,2343.937,46402,0,10,10.582189,3,28.349524,2012
Colorado,8,33,2064.9041,46402,1,12,8.4657507,2,3.5436904,2012
Colorado,8,-175,2323.335,46402,0,5,5.6438336,2,14.174762,2012
Colorado,8,-71,2387.7419,46402,0,8,2.8219168,2,7.087380900000001,2012
Colorado,8,-188,2343.937,46402,0,4,8.4657507,1,3.5436904,2012
Colorado,8,-41,1802.519,46402,0,9,12.345886,3,28.349524,2012
Colorado,8,27,2197.208,46402,1,11,9.876709,2,7.087380900000001,2012
Colorado,8,48,2343.937,46402,1,12,11.287666999999999,3,3.5436904,2012
Colorado,8,53,2026.4091,46402,1,12,5.6438336,3,14.174762,2012
Colorado,8,-62,2337.2581,46402,0,8,8.4657507,3,3.5436904,2012
Colorado,8,49,2162.062,46402,1,12,16.931501,2,3.5436904,2012
Colorado,8,-191,2343.937,46402,0,4,7.0547924,3,28.349524,2012
Colorado,8,-224,2358.2251,46402,0,3,3.5273962,3,28.349524,2012
Colorado,8,-105,2387.7419,46402,0,7,5.6438336,3,28.349524,2012
Colorado,8,-141,2064.9041,46402,0,6,5.6438336,3,28.349524,2012
Colorado,8,-8,2358.2251,46402,0,10,4.9383545,2,14.174762,2012
Colorado,8,-177,2343.937,46402,0,5,33.863003000000006,2,3.5436904,2012
Colorado,8,3,2420.178,46402,1,11,11.287666999999999,2,7.087380900000001,2012
Colorado,8,-13,2343.937,46402,0,10,11.287666999999999,3,3.5436904,2012
Colorado,8,22,2433.3059,46402,1,11,5.6438336,3,28.349524,2012
Colorado,8,-216,2444.1411,46402,0,3,7.0547924,3,28.349524,2012
Colorado,8,-14,2064.9041,46402,0,10,2.3995892999999997,2,25.004279999999998,2012
Colorado,8,-149,2375.874,46402,0,6,9.820591,2,4.9895163,2012
Colorado,8,-302,2375.874,46402,0,1,10.405819000000001,3,28.349524,2012
Colorado,8,6,2343.937,46402,1,11,7.0547924,3,28.349524,2012
Colorado,8,-90,2230.3601,46402,0,8,15.031517000000001,3,4.9895163,2012
Colorado,8,-140,1838.4041,46402,0,6,84.65750899999999,2,7.087380900000001,2012
Colorado,8,-105,2343.937,46402,0,7,7.336984200000001,3,7.087380900000001,2012
Colorado,8,-61,2337.2581,46402,0,9,2.8219168,2,3.5436904,2012
Colorado,8,-55,2220.8201,46402,0,9,7.0547924,3,3.5436904,2012
Colorado,8,51,2422.5779,46402,1,12,5.2910943,3,28.349524,2012
Colorado,8,-128,2046.7520000000002,46402,0,6,10.582189,2,28.349524,2012
Colorado,8,-263,2334.385,46402,0,2,10.021011,3,4.9895163,2012
Colorado,8,33,2387.7419,46402,1,12,7.0547924,2,28.349524,2012
Colorado,8,-108,2171.8789,46402,0,7,5.0033989000000005,3,19.986414,2012
Colorado,8,37,2368.571,46402,1,12,5.6438336,3,28.349524,2012
